Rank,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross
150,2/1/2019,Alita: Battle Angel, 170000000, 85838210, 401900040
151,5/20/2016,Alice Through the Looking Glass, 170000000, 77042381, 276928112
152,5/21/2010,Shrek Forever After, 165000000, 238736787, 756244673
153,10/24/2016,Doctor Strange, 165000000, 232641920, 676354481
154,10/25/2014,Big Hero 6, 165000000, 222527828, 649657407
155,3/26/2010,How to Train Your Dragon, 165000000, 217581232, 494870992
156,11/1/2012,Wreck-It Ralph, 165000000, 189412677, 496511521
157,11/5/2014,Interstellar, 165000000, 188017894, 651994868
158,9/15/2021,Dune, 165000000, 108324135, 399889473
159,6/22/2016,Independence Day: Resurgence, 165000000, 103144286, 384169424
160,7/29/2011,Cowboys and Aliens, 163000000, 100368560, 176038324
161,3/16/2017,Beauty and the Beast, 160000000, 504014165, 1273109220
162,6/27/2019,Spider-Man: Far From Home, 160000000, 390532085, 1132532832
163,12/6/2018,Aquaman, 160000000, 335061807, 1143758700
164,5/17/2007,Shrek the Third, 160000000, 322719944, 807330936
165,7/16/2010,Inception, 160000000, 292576195, 728582465
166,11/18/2015,The Hunger Games: Mockingjay - Part 2, 160000000, 281723902, 648986787
167,5/17/2013,Fast and Furious 6, 160000000, 238679850, 789300444
168,5/14/2014,Godzilla, 160000000, 200676069, 529076069
169,6/3/2011,X-Men: First Class, 160000000, 146408305, 355408305
170,12/25/2008,The Curious Case of Benjamin Button, 160000000, 127509326, 329631958
171,7/14/2010,The Sorcerer's Apprentice, 160000000, 63150991, 217986320
172,5/12/2006,Poseidon, 160000000, 60674817, 181674817
173,5/25/2016,Warcraft, 160000000, 47365290, 438899824
174,11/1/2019,The Irishman, 159000000, 0, 910234
175,9/29/2016,Deepwater Horizon, 156000000, 61433527, 122603824
176,12/10/2010,The Chronicles of Narnia: The Voyage of the Daw…, 155000000, 104386950, 418186950
177,3/25/2021,Godzilla vs. Kong, 155000000, 100916094, 468064628
178,6/24/2015,Terminator: Genisys, 155000000, 89760956, 432150894
179,3/16/2018,Pacific Rim: Uprising, 155000000, 59874525, 290930148
180,11/24/2004,Alexander, 155000000, 34297191, 167297191
181,7/14/2017,War for the Planet of the Apes, 152000000, 146880162, 489592267
182,5/25/2001,Pearl Harbor, 151500000, 198539855, 449239853
183,7/2/2007,Transformers, 151000000, 319246193, 708272592
184,11/20/2019,Frozen II, 150000000, 477373578, 1445182280
185,5/29/2017,Wonder Woman, 150000000, 412563408, 818058221
186,11/22/2013,Frozen, 150000000, 400953009, 1265596785
187,2/10/2016,Zootopia, 150000000, 341268248, 1004629935
188,7/11/2007,Harry Potter and the Order of the Phoenix, 150000000, 292137260, 939619849
189,11/18/2005,Harry Potter and the Goblet of Fire, 150000000, 290201752, 886746240
190,5/15/2003,The Matrix Reloaded, 150000000, 281553689, 738576929
191,12/14/2007,I am Legend, 150000000, 256393010, 585532684
192,1/27/2016,Moana, 150000000, 248757044, 634965560
193,7/1/2008,Hancock, 150000000, 227946274, 624234272
194,9/1/2021,Shang-Chi and the Legend of the Ten Rings, 150000000, 224543292, 432243292
195,7/15/2005,Charlie and the Chocolate Factory, 150000000, 206459076, 475825484
196,6/29/2007,Ratatouille, 150000000, 206445654, 626549695
197,10/30/2013,Thor: The Dark World, 150000000, 206362140, 644602516
198,6/15/2005,Batman Begins, 150000000, 205343774, 358858124
199,7/29/2015,Mission: ImpossibleâRogue Nation, 150000000, 195042377, 688858992
200,7/18/2017,Dunkirk, 150000000, 190068280, 518058826
201,4/29/2011,Thor, 150000000, 181030624, 449326618
202,11/7/2008,Madagascar: Escape 2 Africa, 150000000, 180174880, 599680774
203,5/1/2009,X-Men Origins: Wolverine, 150000000, 179883157, 374825760
204,5/22/2009,Night at the Museum: Battle of the Smithsonian, 150000000, 177243721, 402231063
205,5/26/2011,Kung Fu Panda 2, 150000000, 165249063, 664837547
206,5/14/2015,Mad Max: Fury Road, 150000000, 153636354, 367457874
207,5/3/2019,PokÃ©mon: Detective Pikachu, 150000000, 144105346, 431344168
208,11/5/2003,The Matrix Revolutions, 150000000, 139270910, 427300260
